,Unnamed: 0,FILENAME,NOBS,BANDS,RA,DEC,BRIGHTEST,RISE_z,RISE_i,RISE_r,MAX_r-i,MIN_r-i,MAX_i-z,MIN_i-z,MAX_SNR_z,MAX_SNR_i,MAX_SNR_r,CUT_1,CUT_2,CUT_3,CCD,MAG_r,MAG_i,MAG_z,EXPNUM_1,EXPNUM_2,EXPNUM_3,EXPNUM_4
7941,7941,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010493.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,4.900000000000006,4.900000000000006,0.0,0.0,0.0,27.148298024279928,35.3807257584771,True,True,False,-1,22.311588884066786,22.357261775968333,99.9,0,0,0,0
7942,7942,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010509.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-1.9187,-1.9187,0.0,0.0,0.0,1.3655464216634428,1.1383394383394383,True,True,False,-1,26.070960811127982,25.620282503435543,99.9,0,0,0,0
7943,7943,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010511.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-308.0,-308.0,0.0,0.0,0.0,151.21497373029774,107.36325385694248,True,True,False,-1,21.042712001574248,20.401697766028626,99.9,0,0,0,0
7944,7944,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010512.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,20.512999999999987,20.512999999999987,0.0,0.0,0.0,20.689844683393073,31.94154488517745,True,True,False,-1,22.425526322920362,22.65636826799561,99.9,0,0,0,0
7945,7945,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010515.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,4.7163,4.7163,0.0,0.0,0.0,0.5940735365263667,2.187980475899939,True,True,False,-1,25.360869021113555,26.524473302227378,99.9,0,0,0,0
7946,7946,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010519.DAT,4,ir,77.390969,6.614503,i,0.0,0.9010000000000103,-0.024999999999998582,-47.122,-48.048,0.0,0.0,0.0,16.574811083123425,4.899145770184624,True,True,False,-1,24.376759461139308,22.95440226536619,99.9,0,0,0,0
7947,7947,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010538.DAT,4,ir,77.390969,6.614503,i,0.0,-0.3999999999999773,5.160000000000026,-31.550000000000008,-37.110000000000014,0.0,0.0,0.0,72.06168042739193,69.6842105263158,True,True,False,-1,21.442705048080846,21.32048767106241,99.9,0,0,0,0
7948,7948,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010546.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-0.18450000000000036,-0.18450000000000036,-0.8301558203483043,-0.7129238329238329,0.0,True,True,False,-1,99.9,27.5,27.5,0,0,0,0
7949,7949,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010559.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-14.8812,-14.8812,0.0,0.0,0.0,3.4670369475971987,-0.16015887564925144,True,True,False,-1,27.5,24.60734074904344,99.9,0,0,0,0
7950,7950,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010581.DAT,4,iz,77.002256,5.893483,z,4.123999999999999,2.2874,0.0,0.0,0.0,-8.929400000000003,-10.765999999999998,6.559744603222864,2.8002590673575134,0.0,True,True,False,-1,99.9,24.915536207894426,24.16512298903188,0,0,0,0
7951,7951,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010592.DAT,4,iz,77.002256,5.893483,i,-3.8913900000000003,-1.5530000000000002,0.0,0.0,0.0,2.83189,0.4935000000000001,0.9780458015267176,0.9586618257261412,0.0,True,True,False,-1,99.9,26.67214062907107,27.5,0,0,0,0
7952,7952,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010607.DAT,4,iz,77.002256,5.893483,z,-2.2960000000000003,-3.3763,0.0,0.0,0.0,-3.4204,-4.5007,1.0827786259541985,0.03261546445251687,0.0,True,True,False,-1,99.9,27.5,27.25763811205765,0,0,0,0
7953,7953,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010630.DAT,4,ir,77.390969,6.614503,i,0.0,8.046999999999997,-2.397000000000002,-8.308,-18.752,0.0,0.0,0.0,11.451099317664898,7.961781688204565,True,True,True,-1,23.93942982326005,23.35946692081586,99.9,0,0,0,0
7954,7954,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010636.DAT,4,iz,77.002256,5.893483,i,1.8200000000000005,5.483000000000003,0.0,0.0,0.0,10.783,7.119999999999997,9.777070063694266,11.084256634887916,0.0,True,True,False,-1,99.9,23.415874461925945,23.729180813632194,0,0,0,0
7955,7955,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010637.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,10.32000000000001,10.32000000000001,0.0,0.0,0.0,26.704761904761906,36.39821693907875,True,True,False,-1,22.27983705577449,22.375404998443546,99.9,0,0,0,0
7956,7956,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010662.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,0.9911,0.9911,-1.1635502597005805,-0.6921867321867322,0.0,True,True,False,-1,99.9,27.5,27.5,0,0,0,0
7957,7957,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010668.DAT,4,ir,77.390969,6.614503,r,0.0,0.2009999999999934,1.0240000000000011,4.818000000000012,3.995000000000005,0.0,0.0,0.0,18.94894366197183,21.829793028322438,True,True,False,-1,22.740119273389894,22.80742154927535,99.9,0,0,0,0
7958,7958,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010714.DAT,4,ir,77.390969,6.614503,i,0.0,-47.9000000000001,-30.529999999999966,-774.8799999999999,-792.25,0.0,0.0,0.0,263.39732888146915,119.09528636594018,True,True,True,-1,20.892800450628165,19.789185012457935,99.9,0,0,0,0
